,Product,Age,Gender,Education,MaritalStatus,Usage,Fitness,Income,Miles
0,KP281,18,Male,14,Single,3,4,29562,112
1,KP281,19,Male,15,Single,2,3,31836,75
2,KP281,19,Female,14,Partnered,4,3,30699,66
3,KP281,19,Male,12,Single,3,3,32973,85
4,KP281,20,Male,13,Partnered,4,2,35247,47
5,KP281,20,Female,14,Partnered,3,3,32973,66
6,KP281,21,Female,14,Partnered,3,3,35247,75
7,KP281,21,Male,13,Single,3,3,32973,85
8,KP281,21,Male,15,Single,5,4,35247,141
9,KP281,21,Female,15,Partnered,2,3,37521,85
10,KP281,22,Male,14,Single,3,3,36384,85
11,KP281,22,Female,14,Partnered,3,2,35247,66
12,KP281,22,Female,16,Single,4,3,36384,75
13,KP281,22,Female,14,Single,3,3,35247,75
14,KP281,23,Male,16,Partnered,3,1,38658,47
15,KP281,23,Male,16,Partnered,3,3,40932,75
16,KP281,23,Female,14,Single,2,3,34110,103
17,KP281,23,Male,16,Partnered,4,3,39795,94
18,KP281,23,Female,16,Single,4,3,38658,113
19,KP281,23,Female,15,Partnered,2,2,34110,38
20,KP281,23,Male,14,Single,4,3,38658,113
21,KP281,23,Male,16,Single,4,3,40932,94
22,KP281,24,Female,16,Single,4,3,42069,94
23,KP281,24,Female,16,Partnered,5,5,44343,188
24,KP281,24,Male,14,Single,2,3,45480,113
25,KP281,24,Male,13,Partnered,3,2,42069,47
26,KP281,24,Female,16,Single,4,3,46617,75
27,KP281,25,Female,14,Partnered,3,3,48891,75
28,KP281,25,Male,14,Partnered,2,3,45480,56
29,KP281,25,Female,14,Partnered,2,2,53439,47
30,KP281,25,Female,14,Partnered,3,3,39795,85
31,KP281,25,Male,16,Single,3,4,40932,113
32,KP281,25,Female,16,Partnered,2,2,40932,47
33,KP281,25,Male,16,Single,3,3,43206,85
34,KP281,26,Female,14,Partnered,3,4,44343,113
35,KP281,26,Female,16,Partnered,4,3,52302,113
36,KP281,26,Male,16,Partnered,2,2,53439,47
37,KP281,26,Male,16,Partnered,3,3,51165,85
38,KP281,26,Female,16,Single,3,3,36384,66
39,KP281,26,Male,16,Partnered,4,4,44343,132
40,KP281,26,Male,16,Single,3,3,50028,85
41,KP281,27,Female,14,Partnered,3,2,45480,66
42,KP281,27,Male,16,Single,4,3,54576,85
43,KP281,27,Female,14,Partnered,2,3,45480,56
44,KP281,28,Female,14,Partnered,2,3,46617,56
45,KP281,28,Female,16,Partnered,2,3,52302,66
46,KP281,28,Male,14,Single,3,3,52302,103
47,KP281,28,Female,14,Partnered,3,3,54576,94
48,KP281,28,Male,14,Single,4,3,54576,113
49,KP281,28,Female,16,Partnered,3,3,51165,56
50,KP281,29,Male,18,Partnered,3,3,68220,85
51,KP281,29,Female,14,Partnered,2,2,46617,38
52,KP281,29,Female,16,Partnered,4,3,50028,94
53,KP281,30,Male,14,Partnered,4,4,46617,141
54,KP281,30,Male,14,Single,3,3,54576,85
55,KP281,31,Male,14,Partnered,2,2,54576,47
56,KP281,31,Female,14,Single,2,2,45480,47
57,KP281,32,Female,14,Single,3,4,46617,113
58,KP281,32,Male,14,Partnered,4,3,52302,85
59,KP281,33,Female,16,Single,2,2,55713,38
60,KP281,33,Female,16,Partnered,3,3,46617,85
61,KP281,34,Male,16,Single,4,5,51165,169
62,KP281,34,Female,16,Single,2,2,52302,66
63,KP281,35,Male,16,Partnered,4,3,48891,85
64,KP281,35,Female,16,Partnered,3,3,60261,94
65,KP281,35,Female,18,Single,3,3,67083,85
66,KP281,36,Male,12,Single,4,3,44343,94
67,KP281,37,Female,16,Partnered,3,3,37521,85
68,KP281,38,Male,16,Partnered,3,3,46617,75
69,KP281,38,Female,14,Partnered,2,3,54576,56
70,KP281,38,Male,14,Single,2,3,52302,56
71,KP281,38,Male,16,Partnered,3,3,56850,75
72,KP281,39,Male,16,Partnered,4,4,59124,132
73,KP281,40,Male,16,Partnered,3,3,61398,66
74,KP281,41,Male,16,Partnered,4,3,54576,103
75,KP281,43,Male,16,Partnered,3,3,53439,66
76,KP281,44,Female,16,Single,3,4,57987,75
77,KP281,46,Female,16,Partnered,3,2,60261,47
78,KP281,47,Male,16,Partnered,4,3,56850,94
79,KP281,50,Female,16,Partnered,3,3,64809,66
80,KP481,19,Male,14,Single,3,3,31836,64
81,KP481,20,Male,14,Single,2,3,32973,53
82,KP481,20,Female,14,Partnered,3,3,34110,106
83,KP481,20,Male,14,Single,3,3,38658,95
84,KP481,21,Female,14,Partnered,5,4,34110,212
85,KP481,21,Male,16,Partnered,2,2,34110,42
86,KP481,21,Male,12,Partnered,2,2,32973,53
87,KP481,23,Male,14,Partnered,3,3,36384,95
88,KP481,23,Male,14,Partnered,3,3,38658,85
89,KP481,23,Female,16,Single,3,3,45480,95
90,KP481,23,Male,16,Partnered,4,3,45480,127
91,KP481,23,Female,16,Partnered,3,2,43206,74
92,KP481,23,Female,14,Single,3,2,40932,53
93,KP481,23,Male,16,Partnered,3,3,45480,64
94,KP481,24,Female,14,Single,3,2,40932,85
95,KP481,24,Male,14,Single,3,4,48891,106
96,KP481,24,Female,16,Single,3,3,50028,106
97,KP481,25,Female,14,Partnered,2,3,45480,85
98,KP481,25,Female,14,Single,3,4,43206,127
99,KP481,25,Male,16,Partnered,2,2,52302,42
100,KP481,25,Female,14,Partnered,5,3,47754,106
101,KP481,25,Male,14,Single,3,3,45480,95
102,KP481,25,Female,14,Single,2,3,43206,64
103,KP481,25,Male,14,Partnered,4,3,45480,170
104,KP481,25,Male,14,Partnered,3,4,43206,106
105,KP481,25,Male,16,Partnered,2,3,50028,53
106,KP481,25,Female,14,Single,2,2,45480,42
107,KP481,25,Male,14,Single,4,3,48891,127
108,KP481,26,Female,16,Partnered,4,3,45480,85
109,KP481,26,Female,16,Single,4,4,50028,127
110,KP481,26,Male,16,Single,4,3,51165,106
111,KP481,27,Male,14,Single,4,2,45480,53
112,KP481,29,Female,14,Partnered,3,3,51165,95
113,KP481,30,Female,14,Single,3,3,57987,74
114,KP481,30,Female,13,Single,4,3,46617,106
115,KP481,31,Male,16,Partnered,3,3,52302,95
116,KP481,31,Female,16,Partnered,2,3,51165,64
117,KP481,31,Female,18,Single,2,1,65220,21
118,KP481,32,Male,16,Single,4,3,60261,127
119,KP481,32,Male,16,Partnered,3,3,53439,95
120,KP481,33,Male,13,Partnered,4,4,53439,170
121,KP481,33,Female,16,Partnered,2,3,50028,85
122,KP481,33,Male,16,Partnered,3,3,51165,95
123,KP481,33,Female,16,Partnered,5,3,53439,95
124,KP481,33,Female,18,Single,3,4,47754,74
125,KP481,34,Female,16,Partnered,4,3,64809,95
126,KP481,34,Male,16,Partnered,3,4,59124,85
127,KP481,34,Male,15,Single,3,3,67083,85
128,KP481,35,Female,14,Partnered,3,2,52302,53
129,KP481,35,Male,16,Partnered,3,2,53439,53
130,KP481,35,Female,16,Single,3,2,50028,64
131,KP481,35,Male,16,Partnered,3,3,53439,95
132,KP481,37,Female,16,Partnered,2,3,48891,85
133,KP481,38,Female,16,Partnered,4,3,62535,85
134,KP481,38,Male,16,Partnered,3,3,59124,106
135,KP481,40,Female,16,Partnered,3,3,61398,85
136,KP481,40,Female,16,Single,3,3,57987,85
137,KP481,40,Male,16,Partnered,3,3,64809,95
138,KP481,45,Male,16,Partnered,2,2,54576,42
139,KP481,48,Male,16,Partnered,2,3,57987,64
140,KP781,22,Male,14,Single,4,3,48658,106
141,KP781,22,Male,16,Single,3,5,54781,120
142,KP781,22,Male,18,Single,4,5,48556,200
143,KP781,23,Male,16,Single,4,5,58516,140
144,KP781,23,Female,18,Single,5,4,53536,100
145,KP781,23,Male,16,Single,4,5,48556,100
146,KP781,24,Male,16,Single,4,5,61006,100
147,KP781,24,Male,18,Partnered,4,5,57271,80
148,KP781,24,Female,16,Single,5,5,52291,200
149,KP781,24,Male,16,Single,5,5,49801,160
150,KP781,25,Male,16,Partnered,4,5,49801,120
151,KP781,25,Male,16,Partnered,4,4,62251,160
152,KP781,25,Female,18,Partnered,5,5,61006,200
153,KP781,25,Male,18,Partnered,4,3,64741,100
154,KP781,25,Male,18,Partnered,6,4,70966,180
155,KP781,25,Male,18,Partnered,6,5,75946,240
156,KP781,25,Male,20,Partnered,4,5,74701,170
157,KP781,26,Female,21,Single,4,3,69721,100
158,KP781,26,Male,16,Partnered,5,4,64741,180
159,KP781,27,Male,16,Partnered,4,5,83416,160
160,KP781,27,Male,18,Single,4,3,88396,100
161,KP781,27,Male,21,Partnered,4,4,90886,100
162,KP781,28,Female,18,Partnered,6,5,92131,180
163,KP781,28,Male,18,Partnered,7,5,77191,180
164,KP781,28,Male,18,Single,6,5,88396,150
165,KP781,29,Male,18,Single,5,5,52290,180
166,KP781,29,Male,14,Partnered,7,5,85906,300
167,KP781,30,Female,16,Partnered,6,5,90886,280
168,KP781,30,Male,18,Partnered,5,4,103336,160
169,KP781,30,Male,18,Partnered,5,5,99601,150
170,KP781,31,Male,16,Partnered,6,5,89641,260
171,KP781,33,Female,18,Partnered,4,5,95866,200
172,KP781,34,Male,16,Single,5,5,92131,150
173,KP781,35,Male,16,Partnered,4,5,92131,360
174,KP781,38,Male,18,Partnered,5,5,104581,150
175,KP781,40,Male,21,Single,6,5,83416,200
176,KP781,42,Male,18,Single,5,4,89641,200
177,KP781,45,Male,16,Single,5,5,90886,160
178,KP781,47,Male,18,Partnered,4,5,104581,120
179,KP781,48,Male,18,Partnered,4,5,95508,180
